Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
19,Adrian Aucoin\aucoiad01,39,CBJ,D,36,0,4,4,-8,16,0.4,0,0,0,0,4,0,0,26,0.0,588,16:20,13,43,0,0,
20,Keith Aucoin\aucoike01,34,NYI,C,41,6,6,12,-1,4,1.1,5,1,0,1,6,0,0,50,12.0,512,12:30,21,33,167,177,48.5
21,Keith Aulie\aulieke01,23,TBL,D,45,2,5,7,1,60,1.2,2,0,0,0,5,0,0,37,5.4,577,12:49,42,91,0,0,
22,Anton Babchuk\babchan01,28,CGY,D,7,0,1,1,-1,0,0.1,0,0,0,0,1,0,0,5,0.0,83,11:51,9,1,0,0,
23,David Backes\backeda01,28,STL,RW,48,6,22,28,5,62,2.6,5,1,0,1,17,4,1,100,6.0,941,19:37,41,158,477,435,52.3
24,Mikael Backlund\backlmi01,23,CGY,C,32,8,8,16,-6,29,1.6,6,2,0,1,6,2,0,88,9.1,484,15:07,19,31,194,213,47.7
25,Nicklas Backstrom\backsni02,25,WSH,C,48,8,40,48,8,20,4.8,5,3,0,1,25,15,0,82,9.8,955,19:54,35,31,432,408,51.4
26,Sven Baertschi\baertsv01,20,CGY,LW,20,3,7,10,0,6,1.0,3,0,0,0,7,0,0,28,10.7,268,13:24,5,12,1,0,100.0
27,Josh Bailey\bailejo01,23,NYI,C,38,11,8,19,7,6,2.6,11,0,0,1,6,2,0,76,14.5,622,16:23,22,24,35,40,46.7
28,Keith Ballard\ballake01,30,VAN,D,36,0,2,2,-2,29,0.6,0,0,0,0,2,0,0,35,0.0,557,15:28,34,45,0,0,
29,Carter Bancks\banckca01,23,CGY,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,29,14:41,3,6,0,0,
30,Daniel Bang\bangda01,25,NSH,RW,8,0,2,2,-2,0,0.0,0,0,0,0,2,0,0,13,0.0,103,12:54,0,12,0,0,
31,Mark Barberio\barbema01,22,TBL,D,2,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,1,0.0,31,15:30,1,0,0,0,
32,Krys Barch\barchkr01,32,NJD,RW,22,0,0,0,1,44,-0.1,0,0,0,0,0,0,0,4,0.0,129,5:51,3,25,1,1,50.0
33,Cam Barker\barkeca01,26,VAN,D,14,0,2,2,-3,4,0.2,0,0,0,0,2,0,0,19,0.0,199,14:12,16,16,0,0,
34,Tyson Barrie\barrity01,21,COL,D,32,2,11,13,-11,10,1.3,1,1,0,1,7,4,0,58,3.4,691,21:35,24,31,0,0,
35,Matt Bartkowski\bartkma01,24,BOS,D,11,0,2,2,0,6,0.4,0,0,0,0,2,0,0,9,0.0,148,13:29,3,11,0,0,
36,Victor Bartley\bartlvi01,24,NSH,D,24,0,7,7,2,6,1.5,0,0,0,0,7,0,0,19,0.0,469,19:33,28,35,0,0,
